"Donor Institute Code","Donor Name","Donor Accession Number","NO. ACC."
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2045,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2092,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2096,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2115,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2116,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2117,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2118,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2119,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2120,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2121,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2122,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2123,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2124,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2125,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2126,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2127,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2129,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2144,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-217,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-218,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-219,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-220,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-221,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-223,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2363,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-237,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-240,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-2489,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-252,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-279,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-307,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-309,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-313,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-317,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-318,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-319,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-321,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-322,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3232,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-325,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-326,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-328,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3281,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3284,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-329,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-330,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-331,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-332,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-333,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3819,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3822,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3824,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3825,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3831,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3832,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3851,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3906,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3909,2
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3922,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3933,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3951,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-3952,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-434,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-435,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-4375,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-4378,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-4395,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-452,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-469,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-4699,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-4700,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-472,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-474,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-475,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-477,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-482,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-483,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-4902,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-4971,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-500,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-539,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-5521,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-5522,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-5597,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-5600,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-5602,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-589,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-590,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-591,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-6202,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-6203,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-6327,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-646,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-649,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-652,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-653,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-654,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-655,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-656,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-659,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-660,2
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-661,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-662,2
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-663,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-664,2
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-667,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-6882,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-776,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-904,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-905,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-906,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-907,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-908,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-909,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-910,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-984,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-985,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-986,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-987,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-988,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-989,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-990,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-991,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-992,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K-994,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K1248,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K139,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K1827,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K1828,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K188,2
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K189,2
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K192,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K194,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K2098,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K2099,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K2588,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K2590,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K2653,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K320,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K4396,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K451,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K454,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K465,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K467,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K468,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K470,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K4880,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K5596,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K5598,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K5603,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K561,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K658,1
Scientific Center of Agrobiotechnology,N.I. Vavilov All-Russian Scientific Research Institute of Plant Industry,K659,1
Scientific Center of Agrobiotechnology,Scientific Center of Agriculture and Plant Protection,,97
Scientific Center of Agrobiotechnology,Scientific Center of Vegetables and Industrial Crops,,401
Scientific Center of Vegetables and Industrial Crops,,,599
Scientific Center of Vegetables and Industrial Crops,,AVRDC,4
Scientific Center of Vegetables and Industrial Crops,,INRA,2
